Rank,Name,Chip time,St. number,Nationality,Age cat.
1,Turbo Tummo,2:12:44,3,-,-
2,Andrzej Krzyscin,2:16:53,8,-,-
3,Pavel Klimes,2:16:56,7,-,-
4,Miriusz Kaminski,2:17:06,28,-,-
5,Jackson Kipngok,2:17:13,1,-,-
6,Pavel Kryška,2:17:31,286,-,-
7,Vladimír Plykine,2:17:47,5,-,-
8,Marek Adamski,2:19:14,17,-,-
9,Petro Meta,2:20:25,10,-,-
10,Alexander Erchov,2:20:30,776,-,-
11,Mohamed Boudita,2:21:00,49,-,-
12,Sergey Prorokov,2:22:37,48,-,-
13,Petr Novak,2:22:42,32,-,-
14,Jose Fernandez,2:23:22,25,-,-
15,Nayirdin Akylbekov,2:23:39,745,-,-
16,Eddie Stewart,2:23:41,536,-,-
17,Alexander ltruchin,2:24:11,21,-,-
18,Christo Stefanov,2:24:31,12,-,-
19,Victor De Jesus,2:25:49,14,-,-
20,Petr Klimes,2:27:37,9,-,-
21,Arkadj Nikitin,2:28:12,746,-,-
22,Vladimír Češner,2:30:13,335,-,-
23,Miloš Smrčka,2:31:36,619,-,-
24,Alena Peterková,2:33:43,500,-,-
25,Jan Hrouza,2:35:02,797,-,-
26,Bruno Sala,2:35:33,395,-,-
27,Petr Lajtkep,2:36:27,703,-,-
28,Jan Vejlupek,2:36:35,477,-,-
29,Jiří Žák,2:37:35,752,-,-
30,Oleg Safronov,2:39:24,11,-,-
31,Darius Jurkovsky,2:39:24,50,-,-
32,Farid Ganiev,2:39:27,27,-,-
33,Svetlana Tkach,2:39:33,508,-,-
34,Olga Yudenkova,2:39:44,503,-,-
35,Nikolai Shepelev,2:40:39,31,-,-
36,Jiří Flekač,2:43:18,353,-,-
37,Rimma Doubovik,2:43:46,719,-,-
38,Oldřich Slaměný,2:44:04,106,-,-
39,Miloš Matoušek,2:45:34,311,-,-
40,Velena Tsukhlo,2:45:38,501,-,-
41,Jiří Slavik,2:48:05,832,-,-
42,Václav Brendl,2:48:26,439,-,-
43,Josef Kalát,2:49:00,604,-,-
44,Paolo A Poncino,2:49:20,668,-,-
45,Josef Čečetka,2:49:35,137,-,-
46,Jiří Franc,2:50:54,443,-,-
47,Josef Stolařík,2:51:49,121,-,-
48,Miloslav Bern,2:52:06,359,-,-
49,Martin Chmelík,2:52:12,270,-,-
50,Milan Dešek,2:52:19,833,-,-
51,Václav Miler,2:53:02,550,-,-
52,Angelo Garroni,2:53:30,659,-,-
53,Karel Stra!czynský,2:53:34,614,-,-
54,Jiří Dědina,2:53:40,259,-,-
55,Andreas Neubert,2:54:11,250,-,-
56,Paul Kempson,2:55:00,305,-,-
57,Oliver Lajtkep,2:55:06,702,-,-
58,Vaclav Pavelka,2:55:08,476,-,-
59,Mario Ruiu,2:55:12,658,-,-
60,Michal Šedek,2:55:27,370,-,-
61,Roman Losser,2:55:49,322,-,-
62,Zderěk Kučera,2:55:54,400,-,-
63,Helena Šedivákova,2:56:15,538,-,-
64,Michal Javůrek,2:56:20,831,-,-
65,Zbyněk Nýdrle,2:56:59,441,-,-
66,František Zídek,2:57:15,607,-,-
67,Pavel Kratina,2:57:33,769,-,-
68,Jiří Náprstek,2:57:39,144,-,-
69,Josef Kunc,2:57:56,366,-,-
70,Martin Martin,2:57:59,497,-,-
71,Jaromír Talaš,2:58:02,626,-,-
72,Jan Rockenbauer,2:58:17,764,-,-
73,Jiří Červenka,2:58:33,214,-,-
74,liří Martinek,2:58:43,724,-,-
75,Pavel Fiala,2:59:25,344,-,-
76,Jiří Radouš,2:59:30,411,-,-
77,Nikolai Jamanov,2:59:56,23,-,-
78,František Tůma,2:59:59,101,-,-
79,Kamil Krpata,3:00:07,112,-,-
80,Giuseppe Germinario,3:00:29,660,-,-
81,Zdeněk Bílý,3:00:40,328,-,-
