Rank,Name,Chip time,St. number,Nationality,Age cat.
1,HASSAN MUBARAK SHAMI,2:11:08,4,QAT,MAM
2,DAVID KEMBOI KIYENG,2:11:40,22,KEN,MAM
3,JOSEPH K. NGENY,2:13:54,6,KEN,MAM
4,STEVEN CHEPTOT MATEBO,2:16:33,1,KEN,MAM
5,PAVEL FASCHINGBAUER,2:17:11,15,CZE,MAM
6,JOACHIM NISHIRIMANA,2:18:01,8,BUR,MAM
7,ABRAHAM YILMA,2:18:10,14,ETH,MAM
8,PAVEL NOVÁK,2:17:47,13,CZE,MAM
9,JOHN ROTICH,2:21:45,23,KEN,MAM
10,SILVIO TRIVELLONI,2:22:28,11,ITA,MAM
11,MARKO VAITTINEN,2:23:52,17,FIN,MAM
12,JAN BLÁHA,2:24:52,10,CZE,MAM
13,VESA EROJARVI,2:25:04,16,FIN,MAM
14,ALINA IVANOVA,2:29:18,5001,RUS,W35
15,PETR HAVELKA,2:30:34,115,CZE,MAM
16,KASHU NAKACHEW,2:30:41,26,ETH,MAM
17,JIŘÍ ŽÁK,2:31:04,19,CZE,MAM
18,CAROLINE CH. KWAMBAI,2:31:06,5003,KEN,WAM
19,CAROLINE K. CHEPTONUI,2:31:07,5005,KEN,WAM
20,JIŘÍ WALLENFELS,2:32:52,18,CZE,MAM
21,LILIYA YADZHAK,2:33:12,5007,RUS,W35
22,PETR MINAŘÍK,2:33:40,123,CZE,MAM
23,BOŘIVOJ KALOUSEK,2:33:58,117,CZE,M40
24,FABRIZIO TRIVELLONI,2:33:58,20,ITA,MAM
25,GIUSEPPE LOMBARDI,2:34:27,260,ITA,M50
26,PETR BĚTÍK,2:35:03,21,CZE,MAM
27,MANUEL GRINAN,2:35:18,1174,ESP,MAM
28,JOAQUIM RAMOS,2:37:34,27,POR,MAM
29,FATIMA CABRAL,2:37:34,5006,POR,WAM
30,HADISH N. LETAY,2:38:09,5009,ETH,WAM
31,ROMAN MARTÍNEK,2:39:23,938,CZE,MAM
32,MIROSLAV BĚTÍK,2:40:57,112,CZE,MAM
33,ROBERT TATRAI,2:41:52,475,SVK,M40
34,HAAVARD NORDGAARD,2:43:12,606,NOR,M45
35,ERVIN IDRIS BESHIR,2:43:30,108,CZE,MAM
36,ANDREAS HUMMEL,2:43:36,698,AUT,M40
37,PETR REITINGER,2:44:19,1059,CZE,M40
38,LEILA AMAN TOLA,2:45:26,5002,ETH,WAM
39,KWONG MAN LAU,2:45:39,980,CHN,MAM
40,MILOŠ LAMBERT,2:45:47,251,CZE,MAM
41,JACK VAN AVENDONK,2:46:54,433,NED,MAM
42,FRANTIŠEK PECHEK,2:47:54,632,CZE,M50
43,GARETH DAVIES,2:48:42,963,GBR,MAM
44,MILAN ADAMEC,2:48:58,101,CZE,MAM
45,JIŘÍ KAČÍREK,2:49:10,1181,CZE,MAM
46,MANUEL ANTONIO LOURO INSUA,2:49:09,556,ESP,MAM
47,DAVID PROCHÁZKA,2:49:43,1014,CZE,MAM
48,MARTIN HAFNER,2:48:16,1188,GER,MAM
49,MIKLOS RÁCZ,2:50:03,424,HUN,M45
50,TOMÁŠ ULMA,2:50:52,1033,CZE,M40
51,ONDRA BULIS,2:50:51,967,CZE,MAM
52,IVANA MARTINCOVÁ,2:51:47,5008,CZE,W40
53,MICHAL PINKNER,2:50:44,1147,CZE,MAM
54,ERIC BATEN,2:51:53,338,NED,MAM
55,MIROSLAV MIKULA,2:52:15,543,CZE,MAM
56,JAN ŠKRDLA,2:52:39,1246,CZE,MAM
57,JIRÍ CÁSLAVA,2:53:09,104,CZE,MAM
58,ANTONIO MARTUCCI,2:53:09,721,ITA,M40
59,ZDENEK TŮMA,2:53:14,1002,CZE,M40
60,LUBOŠ MIKYSKA,2:53:19,359,CZE,MAM
61,IVO CAUDR,2:53:25,1156,CZE,MAM
62,HARRI VÄLIMAA,2:53:25,456,FIN,M50
63,KAREL KOUŘIL,2:53:58,113,CZE,MAM
64,JAROSLAV BOHDAL,2:53:37,1097,CZE,MAM
65,GIANNI PANFILI,2:54:13,264,ITA,M40
66,MARTIN PENGILLY,2:52:30,1593,GBR,MAM
67,PETR BAYER,2:54:04,1236,CZE,MAM
68,ALEŠ JELÍNEK,2:54:20,674,CZE,MAM
69,GINO LAUWEN,2:54:35,501,BEL,MAM
70,DAVID ZÁMEČNÍK,2:53:44,1573,CZE,MAM
71,JEROME ROPERS,2:54:43,301,FRA,MAM
72,VLASTIMIL KACÍŘ,2:55:16,3683,CZE,MAM
73,DOMINIC MCCARTER,2:54:11,1045,GBR,M40
74,LUKE MALARZ,2:55:46,534,GBR,MAM
75,KARL HILSENBEK,2:56:07,157,GER,M45
76,LUKAŠ PFLUG,2:56:25,1743,CZE,MAM
77,PAVEL NOVÝ,2:56:28,1177,CZE,MAM
78,VALERIO CAPITELLI,2:56:45,657,ITA,M45
79,SANTIAGO MARTIN,2:56:47,3509,ESP,M40
80,RUFINO ACUNHA,2:55:34,622,ESP,MAM
81,GILLES GOUDENHOOFT,2:57:15,276,FRA,M40
82,PAVEL HOTAŘ,2:57:28,116,CZE,M40
83,MAREK MAKOWSKI,2:57:35,435,POL,M45
84,BOHUSLAV PLACHÝ,2:57:38,746,CZE,MAM
86,MICHAEL KERSCHAT,2:58:04,162,AUT,M40
85,THIERRY BOLE,2:56:21,3325,FRA,MAM
87,MIROSLAV HODBOD',2:58:07,126,CZE,MAM
88,GAL HADARI,2:57:22,1091,ISR,MAM
89,RAIMUND MARCHLER,2:58:04,325,AUT,M45
90,CARLOS GONZALEZ REINO,2:58:17,558,ESP,M40
91,VIATCHESLAV ZHURAVLEV,2:58:20,1671,RUS,M45
93,JAN EKER,2:58:15,1243,CZE,M40
92,JAN BLÁHA,2:58:09,539,CZE,MAM
94,DANIELE BELCASTRO,2:58:16,654,ITA,MAM
95,RICHARD DRAVENSTOTT,2:58:37,219,USA,MAM
96,FRANTIŠEK KUZMA,2:58:08,1062,SVK,MAM
97,MARTIN FRELICH,2:58:51,96,CZE,MAM
98,STANISLAS ROUSSEAU,2:58:45,978,FRA,M40
99,GÜNTER RUDIGIER,2:58:42,327,AUT,M40
100,ROLAND BACHLER,2:58:58,515,AUT,MAM
101,ALESSANDRO ZOTTOLI,2:59:08,741,ITA,MAM
102,LAURENT BRICARD,2:59:17,1037,FRA,MAM
103,CRESCIMBENI ROBERTO,2:59:19,207,ITA,M45
104,JAN FLÍDR,2:59:22,227,CZE,M45
105,JAN VČELÁK,2:58:46,1237,CZE,MAM
