Rank,Name,Chip time,St. number,Nationality,Age cat.
1,KENNETH MBURU MUNGARA,2:11:06,6,KEN,MAM
2,ELIAH SANG,2:12:15,4,KEN,MAM
3,SIMON NJOROGE KARIUKI,2:13:24,3,KEN,MAM
4,BETT HILLARY KIPLAGAT,2:13:38,9,KEN,MAM
5,NGENY PAUL KIPKEMBOI,2:14:56,13,KEN,MAM
6,ADEN JEMAL HUSSEIN,2:15:28,31,ETH,MAM
7,JULIUS KIPEMEI SUGUT,2:15:52,10,KEN,MAM
8,ERIC LUUSA NZIOKI,2:17:42,7,KEN,MAM
9,JOACHIM NISHIRIMANA,2:17:53,19,BUR,MAM
10,SLIMANI BENAZZOUS,2:19:35,16,MAR,MAM
11,VIKTOR STARODUBCEV,2:21:51,23,UKR,MAM
12,LENAR KHUSNUSTDINOV,2:22:12,14,RUS,MAM
13,DESTAO SVENECH,2:22:43,39,ISR,MAM
14,JOHNY LORIA SOLANO,2:23:23,22,CRC,MAM
15,RÓBERT ŠTEFKO,2:23:53,12,CZE,M40
16,VITO SARDELLA,2:24:58,20,ITA,MAM
17,ROMAN WEGER,2:25:17,40,AUT,MAM
18,PETR HAVELKA,2:28:19,29,CZE,MAM
19,DANIEL ORÁLEK,2:29:19,116,CZE,MAM
20,TOMÁŠ ONDRÁCEK,2:31:10,28,CZE,MAM
21,PETR VABROUŠEK,2:31:36,30,CZE,MAM
22,NATALYA YULAMANOVA,2:31:43,F1,RUS,WAM
23,JIRÍ WALLENFELS,2:31:56,26,CZE,MAM
24,LEOŠ PELOUCH,2:35:43,140,CZE,MAM
25,EMILY KIMURIA,2:35:55,F4,KEN,WAM
26,FABIO MONZANI,2:36:57,1097,ITA,MAM
27,CAROLINE CH. KWAMBAI,2:37:51,F5,KEN,WAM
28,MILAN ADAMEC,2:37:54,141,CZE,MAM
29,IVAN BRESSANELLI,2:38:46,1986,ITA,MAM
30,DAVID WARNER,2:39:20,3430,GBR,M45
31,BORIVOJ KALOUSEK,2:40:35,113,CZE,M40
32,GEORGINA J. RONO,2:40:43,F10,KEN,WAM
33,MOUNIA ABOULAHCEN,2:40:50,F6,BEL,W35
34,PETR WALA,2:42:59,189,CZE,MAM
35,MARTIN FRELICH,2:43:32,110,CZE,MAM
36,VICTOR GONZALO,2:43:50,1866,ESP,M40
37,MIROSLAV ŠVEHLA,2:44:38,565,CZE,M40
38,VLASTIMIL ŠROUBEK,2:45:02,128,CZE,M45
39,MAREK PROCHÁZKA,2:45:17,235,CZE,MAM
40,JIRÍ BROŽÍK,2:45:30,366,CZE,MAM
41,GARETH DAVIES,2:45:57,267,GBR,M40
42,PASQUALE RAZIONALE,2:46:13,1764,ITA,M45
43,DOMINIC MCCARTER,2:46:35,354,GBR,M40
44,DAMIEN BETOURET,2:47:02,379,FRA,MAM
45,NYDEGGER DAMIEN,2:47:02,318,SUI,MAM
46,PIO MALFATTI,2:47:05,1127,ITA,M45
47,SLÁVEK ŠVEJDAR,2:47:14,1080,CZE,MAM
48,BOHUSLAV RODINA,2:47:21,278,CZE,M45
49,ANTONIO DI MANNO,2:47:28,251,ITA,M40
50,MANIGHETTI GIANCARLO,2:47:39,675,ITA,MAM
51,MARIAN CZERSKI,2:48:02,3471,POL,M50
52,MILOŠ LAMBERT,2:48:09,588,CZE,MAM
53,MIGNOTTE OLIVIER,2:48:27,520,FRA,MAM
54,JAN ŠKRDLA,2:48:52,1163,CZE,MAM
55,JOSÉ RAMÓN TORRES PEANILLA,2:49:02,2651,ESP,M40
56,VIKTOR VIRÁG,2:49:33,190,HUN,MAM
57,HANS VERBAANDERT,2:49:58,2077,NED,M50
58,MARCELO CRETTI,2:50:00,1985,ITA,MAM
59,JOHN MARY SACCO,2:50:19,1187,MAL,M45
60,JOHAN GALEA,2:50:20,1188,MAL,MAM
61,VLADIMÍR BALOGH,2:50:37,664,SVK,M45
62,PERE RODRIGUEZ SABATE,2:50:52,1073,ESP,MAM
63,NICOLE KLINGER,2:51:20,F12,SLO,WAM
64,BEAT GERBER,2:51:30,37,SUI,MAM
65,ZDENEK MELŠA,2:51:35,3372,CZE,MAM
66,TOMÁŠ CERNÍK,2:51:38,2993,CZE,MAM
67,PER ANDERSSON,2:51:41,243,SWE,MAM
68,JOSEF KUBÁLE,2:51:47,462,CZE,MAM
