Rank,Name,Chip time,St. number,Nationality,Age cat.
1,WILLY CHERUIYOT,2:11:56,2,KEN,MAM
2,PAUL KANDA KANGOGO,2:12:18,9,KEN,MAM
3,BEKELE HABTAMU,2:14:10,5,ETH,MAM
4,DAVID MAIYO,2:15:18,8,KEN,MAM
5,AYALLE SATAIN,2:15:53,43,ISR,M40
6,SIMON MAIYO,2:19:09,10,KEN,MAM
7,JOHANNES KEKANA,2:21:57,11,RSA,MAM
8,JAN BLÁHA,2:22:21,13,CZE,MAM
9,JOSEPH SITIENEI,2:24:27,7,KEN,MAM
10,KREMER DOV,2:24:27,42,ISR,MAM
11,PAVEL KRYŠKA,2:24:52,14,CZE,MAM
12,KENNEDY MOMANYI,2:27:09,16,KEN,MAM
13,JIŘÍ WALLENFELS,2:29:47,15,CZE,MAM
14,PAVEL HORÁK,2:30:38,69,CZE,M40
15,PETR MINAŘÍK,2:30:53,76,CZE,MAM
16,PETR HAVELKA,2:31:03,74,CZE,MAM
17,JOSEPH CHEROMEI,2:31:08,4,KEN,MAM
18,ANNA JELAGAT KIBOR,2:31:10,F3,KEN,WAM
19,ALICE CHELANGAT,2:31:25,F1,KEN,WAM
20,BAIKADI ELI,2:32:16,44,ISR,MAM
21,FRANTIŠEK KARLÍK,2:33:14,71,CZE,MAM
22,MULUGETA SERBESSA,2:33:23,78,CZE,MAM
23,ALAIN SAMUEL,2:35:19,346,FRA,M40
24,RADEK LINHART,2:36:27,72,CZE,MAM
25,BOŘIVOJ KALOUSEK,2:36:40,67,CZE,MAM
26,ABEBA TOLA,2:37:20,F2,ETH,WAM
27,RADEK BRUNNER,2:37:40,73,CZE,MAM
28,JAROSLAV LOHYNSKÝ,2:37:56,272,CZE,MAM
29,RONALD HAMPE,2:40:01,237,GER,MAM
30,SZABOLCS BEDA,2:40:12,403,HUN,MAM
31,PETER MIKULA,2:41:10,1529,SVK,MAM
32,ONDŘEJ LANKAŠ,2:42:20,1709,CZE,MAM
33,MILKA MIHAILOVA,2:42:40,F4,BUL,WAM
34,JOSEF SMETANA,2:42:55,436,CZE,MAM
35,NIMROD BEN-YAACOV,2:42:55,430,ISR,MAM
36,JIŘÍ LENČA,2:43:06,63,CZE,MAM
37,MILOSLAV BĚTÍK,2:44:00,64,CZE,MAM
38,REMI DUBOIS,2:44:09,906,FRA,M45
39,MARTIN FRELICH,2:45:33,80,CZE,MAM
40,LADISLAV SVENTEK,2:46:28,1303,SVK,MAM
41,TOMÁŠ ULMA,2:46:35,1713,CZE,MAM
42,FRANS RENDERS,2:47:07,3731,BEL,M40
43,PETER ROLINK,2:47:19,215,NED,M40
44,MARIA BAK,2:47:47,F50,POL,W40
45,LUC DIRCKX,2:48:00,3728,BEL,MAM
46,JEAN FRANCOIS COCHIN,2:48:18,296,FRA,M40
47,RÓBERT KOSTOLNÝ,2:48:24,500,SVK,MAM
48,MICHEL M.W.L. LUIJTHAARDEN,2:48:49,212,NED,M45
49,DARIUSZ WEDROWSKI,2:48:56,374,POL,MAM
50,GUIDO MENOZZI,2:49:00,357,ITA,MAM
51,MARTIN CHUDO,2:50:05,926,CZE,MAM
52,PASQUALE MARSEGLIA,2:50:40,311,ITA,MAM
53,IVANA MARTINCOVÁ,2:50:42,F5,CZE,W40
54,MILAN ADAMEC,2:50:58,358,CZE,MAM
55,RENE JACOBS,2:51:14,3729,BEL,M50
56,ALAN ROBSON,2:51:48,1368,SCO,M40
57,ANDREA IACONO,2:51:59,320,ITA,MAM
